# BigMetaTable memory/storage audit for prepareML_fullvalid.py's pipeline.
"# Sizing assumptions: N=80,000,000 rows; C=150 table columns; NCOMP=60 components; NPHASE=20 phases (all as given)."
"# Additional fill-in assumptions (not user-specified, needed to size features.npy): NEL=NOX=14 (from constants.default_Elkeys), FEATURE_OFFSET=3 (P/T/fO2), SAMPLE_NO=1 (no resample-multiplier expansion)."
# dtype: self.table and every *_labels.npy/features.npy/labels.npy/molar array = float32 (4B); metadata vocab-code arrays = int32 (4B); boolean masks = 1B/element.
"# GB = 1e9 bytes (decimal). 'Def File/Line/Code' = where the operation is implemented. 'Call File/Line(s)/Code' = the nearest actual invocation site in the codebase (may be prepareML_fullvalid.py for top-level ops, or the calling function for nested helpers)."
# Generated 2026-07-08.
""
Operation,Frequency / Count (per full Train+Test run),Def File,Def Line,Def Code,Call File,Call Line(s),Call Code,"In-RAM Products (name: shape, dtype)",In-RAM Peak Footprint,"On-Disk Products (name: shape, dtype)",On-Disk Footprint,Notes / Memory Risk
.filter_min_phase_proportion(),"Train only, while-loop until stable (config: min_phase_proportion != 0) -- iteration count is data-dependent, not statically knowable",src/builder/processing/BigMetaTable.py,846,"def filter_min_phase_proportion(self, min_proportion, chunk_size=None):",src/builder/processing/prepareML_fullvalid.py,319,TrainMELTS.filter_min_phase_proportion(min_proportion=min_phase_cfg),"presence (N, NPHASE) bool, built chunk-wise but held in full afterward (BigMetaTable.py:887)",1.60 GB,"none directly (ends in .delete(), see that row)",0 GB,"MODERATE: the *build* is chunked (one row-chunk at a time), but the resulting presence matrix is kept resident in full for the rest of the method -- ~1.6GB @ 80M rows/20 phases per call, and this can run several times in the while-loop."
".indexer.table_update() (main call, post-filtering)",1x (Train only),src/builder/indexer.py,864,"def table_update(self, data_matrix, tolerance=1e-10, excluded_oxides=None, chunk_size=100_000):",src/builder/processing/prepareML_fullvalid.py,324-328,"TrainMELTS.indexer.table_update(TrainMELTS.table, excluded_oxides=excluded_oxides_cfg, chunk_size=chunk_size)","column_sums (C,) float64, column_has_positive (C,) bool -- chunked accumulation",< 0.01 GB,none,0 GB,SAFE: same chunked column-sum pattern as exclude_oxides above.
.delete() (shared by every filter above that removes rows),"10+ calls across the run: filters.py balance funcs (170, 265, 373) and filter_bulk_composition_mismatch (535); BigMetaTable.py filter_min_phase_proportion (917), filter_phases_not_in_ml_indexer (996), filter_inconsistent_phase_data (1149), filter_full_metadata (1175), separate_analcime/separate_k_feldspar conflict cleanup (1395, 1506)",src/builder/processing/BigMetaTable.py,566,"def delete(self, indices, save_text=True, chunk_size=None):",src/builder/processing/filters.py,"170, 265, 373, 535 (representative; also BigMetaTable.py internal callers above)",MetaTable.delete(delete_indices),"keep_mask (N,) bool",0.08 GB,"rewrites self.table (and blurredbinaries, if present) into a new memmap of the post-delete row count, chunked via _chunked_mask_copy",up to 48.00 GB transiently (old + new memmap coexist until the old one is replaced),SAFE: BigMetaTable.py:566-569 docstring explicitly calls out that this replaced a `self.table[keep_mask]` one-shot materialization with chunked _chunked_mask_copy. One row per the task instructions since this is the same method regardless of caller.
resampling_to_datasets() -- table1 copy via _chunked_copy_into,2x (Train + Test),src/builder/processing/BigMetaTable.py,529,"def _chunked_copy_into(self, src, dst, dst_offset=0, chunk_size=None):",src/builder/processing/MLexporter.py,202,"self._chunked_copy_into(self.table, self.table1, chunk_size=chunk_size)","one chunk of (chunk_size, C) at a time",O(chunk_size x C) -- bounded,"self.filename + '_temp.npy' (self.table1), shape (N, C) float32 -- a full working copy of the table so resampling doesn't mutate the original",48.00 GB,SAFE: chunked with a flush per chunk (MLexporter.py:199-202 comment).
"resampling_to_datasets() -- binary_source derivation (per-chunk, fixed 2026-07-08)","2x (Train + Test), recomputed once per resample sample x chunk",src/builder/processing/MLexporter.py,204,if self.blurredbinaries is None: binary_source = None  else: binary_source = self.blurredbinaries,src/builder/processing/MLexporter.py,334-340,"self.binarylabels[out_start:out_end] = (self.table[start:end, mass_indices] > 0).astype(np.float32)","one chunk of (chunk_size, NPHASE) at a time",O(chunk_size x NPHASE) -- bounded,"none directly (writes into binarylabels memmap, see that row)",0 GB,"Previously this precomputed `binary_mask = np.empty((total_rows, len(mass_indices)), dtype=int)` -- a full (N, NPHASE) int64 array, ~12.80 GB @ 80M rows/20 phases -- up front, unconditionally. Fixed earlier this session to derive it per-chunk instead since it doesn't depend on the resample index."
.retrieve_component_moles(),1x per resampling_to_datasets() call (=2x total) plus 1x per filter_bulk_composition_mismatch() call (=2x total) -- 4x overall,src/builder/processing/BigMetaTable.py,1509,"def retrieve_component_moles(self, multiplier_bounds=[1, 1], chunk_size=None):",src/builder/processing/MLexporter.py,279,self.retrieve_component_moles(),"molar_chunk (chunk_size, NCOMP) float32, per-phase temporaries bounded by chunk_size",O(chunk_size x NCOMP) -- bounded,"self.filename + 'component_moles.npy' (self.molar), shape (N, NCOMP) float32",19.20 GB,SAFE: chunk-outer/phase-inner loop (BigMetaTable.py:1559-1564 comment) reads self.table1 once per chunk regardless of phase count.
resampling_to_datasets() -- output memmap allocation (molarlabels/binarylabels/masslabels/features/labels[/freeOutputs]),"2x (Train + Test), one allocation per array per call",src/builder/processing/MLexporter.py,217-261,"self.molarlabels = np.lib.format.open_memmap(self.filename + 'molar_labels.npy', mode='w+', dtype=np.float32, shape=(num_rows*len(resample_bounds), num_phases))  [and 4-5 siblings]",src/builder/processing/MLexporter.py,"217, 224, 231, 238, 249, 256",self.molarlabels = ... / self.binarylabels = ... / self.masslabels = ... / self.features = ... / self.freeOutputs = ... / self.labels = ...,none (all memmapped),0 GB,"molar_labels.npy, binary_labels.npy, mass_labels.npy (N, NPHASE) each; features.npy (N, FEATURE_OFFSET+NEL); labels.npy (N, NCOMP); free_outputs.npy optional",19.20 GB (3x NPHASE-wide) + 5.44 GB (features) + 19.20 GB (labels) = 43.84 GB total per call,"SAFE: all five/six arrays are memmapped from creation, and every write into them in the main loop below is chunked (out_start:out_end slices)."
resampling_to_datasets() -- main per-chunk label/feature build loop,2x (Train + Test) x sampleNo x ceil(N/chunk_size) chunks,src/builder/processing/MLexporter.py,264,"for i, bounds in enumerate(tqdm(resample_bounds, desc='Generating Molar Features and Labels', leave=False)):",src/builder/processing/MLexporter.py,326-416,"for start in tqdm(range(0, num_rows, chunk_size), desc=f'Building labels/features (sample {i})', leave=False):","molar_chunk, Inmoles_chunk, InTot_chunk and similar, all (chunk_size, width)",O(chunk_size x NCOMP) -- bounded,writes into the memmaps allocated above,(counted in the allocation row above),SAFE: MLexporter.py:326-331 comment documents this was rewritten from repeated full-height reads of self.molar (once per downstream product) to one chunk-in/every-product-out pass.
generate_dataset_stats() -- FULL (non-mmap) reload of features/binary_labels/mass_labels,"3-6x: once per resampling_to_datasets() call (2x) + once per deep_filter() post-filter regen (0-2x, config-gated) + once per bundle_insanity_filter() post-filter regen (0-2x, only if any rows fail sanity checks)",src/builder/processing/MLexporter.py,696,"def generate_dataset_stats(dataset_name, ml_indexer, output_dir=None):",src/builder/processing/MLexporter.py,468,"stats_path = generate_dataset_stats(dataset_name=self.filename, ml_indexer=indexer.ml_indexer, output_dir=Path(self.filename).parent)","features (N, FEATURE_OFFSET+NEL), binary_labels (N, NPHASE), mass_labels (N, NPHASE) -- loaded with plain np.load (NOT mmap_mode) at MLexporter.py:728-730","18.24 GB simultaneously resident, freed only when the function returns",stats.txt (tiny text file),~0 GB,"HIGH: this is a genuine full-array load, not a memmap -- three arrays sized N x width fully in RAM at once. Not the largest hazard in the pipeline (see bundle_insanity_filter below) but it recurs on every stats regeneration, including inside deep_filter and bundle_insanity_filter's own post-filter stats step."
tarfile packaging of the bundle (.tar.gz),2x (Train + Test),src/builder/processing/MLexporter.py,502,"with tarfile.open(bundle_path, 'w:gz') as tar: ...",src/builder/processing/prepareML_fullvalid.py,"335/343, 460","train_bundle_path = resampling_to_datasets(TrainMELTS, ...)  |  test_bundle_path = resampling_to_datasets(TestMELTS, ...)",tarfile/gzip internal buffers only,< 0.1 GB,*.tar.gz bundle containing molar_labels/binary_labels/mass_labels/features/labels[/free_outputs].npy + ml_indexer dir + stats.txt,~43.84 GB uncompressed equivalent (actual .tar.gz is smaller after gzip),SAFE: tarfile.add() streams file contents rather than loading them.
"deep_filter() / _deep_filter_npy() (config-gated, filter_cfg.enabled)",0-2x (Train + Test),src/builder/processing/filters.py,940 / 1060,"def deep_filter(tarball_path, ...):  /  def _deep_filter_npy(filename, ...):",src/builder/processing/prepareML_fullvalid.py,"363, 483","deep_filter(str(train_bundle_path), Oxide_Lower_Bounds=..., ...)  |  deep_filter(str(test_bundle_path), ...)","components/binary_labels/molar_labels opened as mmap_mode='r' (filters.py:1100-1104, safe); per-batch comp_batch etc. bounded by batch_size (default 200,000)","O(batch_size x NCOMP) -- bounded, plus small delete_indices arrays grown via repeated np.append","extracts the bundle to a temp dir, rewrites filtered copies of all 5-6 npy files (see safe_delete_batched row)",~2x 43.84 GB on disk transiently (original + filtered copy) in the temp extraction dir,"MOSTLY SAFE: the filtering scan itself is batched (filters.py:1137-1205). The expensive part is downstream in safe_delete_batched (see that row) and generate_dataset_stats (see that row), both called from here."
safe_delete_batched() -- np.vstack(kept_rows) full materialization,"5-6x per deep_filter()/bundle_insanity_filter() call (once per npy file: labels, features, binary_labels, molar_labels, mass_labels, optionally free_outputs) -- up to ~12x total if both filters run for both Train and Test",src/builder/processing/filters.py,579,"def safe_delete_batched(filename, delete_indices, batch_size=200000):",src/builder/processing/filters.py,"1222-1226, 850-856","safe_delete_batched(filename + 'labels.npy', delete_indices)  [and 4-5 siblings]","kept_rows: list of (batch_size, width) arrays covering every surviving row, then `result = np.vstack(kept_rows)` materializes the ENTIRE surviving array at once (filters.py:592-604)",up to 19.20 GB for labels.npy alone (the widest array); similar-order for the others,"writes the vstacked result via np.save to a .tmp.npy, then os.replace over the original",same as the corresponding *_labels.npy/features.npy size,"HIGH: despite batching the *read*, the final np.vstack (filters.py:603) reassembles the full post-filter array in RAM before writing -- for labels.npy at 80M rows x 60 components that's ~19GB in one array, once per file, per call."
bundle_insanity_filter() -- FULL (non-mmap) load of labels/molar_labels/binary_labels/features,"2x (Train + Test, unconditional -- not config-gated)",src/builder/processing/filters.py,615,"def bundle_insanity_filter(tarball_path, tolerance=1e-3, bulk_tol_frac=1e-3, batch_size=200_000):",src/builder/processing/prepareML_fullvalid.py,"373, 493","bundle_insanity_filter(train_bundle_path, bulk_tol_frac=5E-3)  |  bundle_insanity_filter(test_bundle_path, bulk_tol_frac=5E-3)","labels (N, NCOMP), molar_labels (N, NPHASE), binary_labels (N, NPHASE), features (N, FEATURE_OFFSET+NEL) -- ALL loaded with plain np.load, NOT mmap_mode (filters.py:728-731, comment says 'to avoid file handle issues on Windows')",37.44 GB simultaneously resident,"rewrites the bundle in place if any rows fail sanity checks (via safe_delete_batched, see that row)",same as the corresponding *_labels.npy/features.npy sizes,"CRITICAL: this is the single largest identified memory hazard in the pipeline -- four full-size arrays loaded fully into RAM at once, unconditionally, on every run, deliberately choosing non-mmap loading. At the assumed sizes this is ~37.44 GB before any filtering logic even runs, larger than the already-fixed binary_mask issue and larger than the retrieve_component_moles/table1 pair."
"make_harkers() / make_Tplots() (plot.enabled config-gated, Test only)",0-2x (one call each),src/builder/processing/MLexporter.py,612 / 531,"def make_harkers(MELTS, plot_directory, colormap='turbo', hist=False):  /  def make_Tplots(MELTS, plot_directory, colormap='turbo'):",src/builder/processing/prepareML_fullvalid.py,"472, 473","make_harkers(TestMELTS, str(PLOT_DIR) + '/')  |  make_Tplots(TestMELTS, str(PLOT_DIR) + '/')","one full single-column bool read (N,) for the liquid-presence conditional (MLexporter.py:618-619), then every subsequent column read is bounded to <=200,000 rows via random subsampling",0.32 GB,PNG/JPG plot files,~0 GB,"SAFE: MLexporter.py:619-621 caps the plotted sample at 200,000 rows before any further per-column reads, so only the initial conditional mask scales with N."
del *MELTS.table / del *MELTS / gc.collect() (explicit release),"2x main-flow (lines 354-356, 475-477) + 2x in the finally-block close_memmap_attrs helper (lines 536-550, called at 555/563)",src/builder/processing/prepareML_fullvalid.py,536,"def close_memmap_attrs(obj, obj_name): ... for attr in memmap_attrs: ... delattr(obj, attr)",src/builder/processing/prepareML_fullvalid.py,"354-356, 475-477, 555, 563",del TrainMELTS.table; del TrainMELTS; gc.collect()  |  del TestMELTS.table; del TestMELTS; gc.collect(),none -- this is the memory-releasing counterpart to every row above,"frees the RSS/page-cache pages backing whichever memmaps are still open (table, features, labels, binarylabels, masslabels, molarlabels, freeOutputs, molar, table1, blurredbinaries)",n/a,n/a,"This is the release valve for everything above -- explicit del + gc.collect() lets the OS reclaim memmap page-cache pages promptly instead of waiting on Python's normal refcounting/GC cadence, which matters when the next section's peak (e.g. bundle_insanity_filter) is about to add tens of GB."
.filter_phases_not_in_ml_indexer(),1x (Test only),src/builder/processing/BigMetaTable.py,931,"def filter_phases_not_in_ml_indexer(self, chunk_size=None):",src/builder/processing/prepareML_fullvalid.py,422,TestMELTS.filter_phases_not_in_ml_indexer(),"presence (N, disallowed_phase_count) bool, built chunk-wise but held in full afterward (BigMetaTable.py:971)",<= 1.60 GB (bounded by NPHASE=20; usually far fewer disallowed phases),"none directly (ends in .delete(), see that row)",0 GB,"MODERATE: same pattern as filter_min_phase_proportion -- chunked build, full-size bool array held afterward."
